name,lat,lon,cty,access
Laurelton Playground Skatepark,40.670266,-73.7364863,Suffolk,
,40.5902084,-73.6013264,Nassau,
,40.882187,-73.3113043,Suffolk,
Skateboarding Rink,40.8388292,-73.7160721,Nassau,
,40.8872969,-72.5356174,Suffolk,
,40.8625001,-73.3649027,Suffolk,
,40.6255623,-73.6091776,Nassau,
,40.755572,-73.4872532,Nassau,
Keith Romaine Memorial Skate Park,40.7839925,-72.8526375,Suffolk,
Montauk Skate Park,41.037962,-71.9429463,Suffolk,
,40.6579431,-73.3977584,Suffolk,
,40.5936583,-73.6665899,Nassau,
,40.9225055,-72.684771,Suffolk,
,40.5951583,-73.7464912,Suffolk,
,41.0693331,-72.3514046,Suffolk,
Greenport Skate Park,41.1020271,-72.3736895,Suffolk,
